skill_name,jobs_count,total_clean_jobposts
arts,1014,
data management,1013,
process improvement,1004,
interior design,1003,
validation,1002,
twitter,999,
commissioning,999,
secretarial,998,
productivity,998,
strong business acumen,997,
export,996,
facilities management,995,
relationship building,988,
hibernate,986,
smart,986,
coverage,983,
early childhood,983,
investment banking,981,
building construction,979,
facilitation,977,
art,974,
building services,969,
firewalls,966,
soap,963,
luxury,956,
multinational,956,
algorithms,955,
budgets,954,
web development,952,
cissp,950,
offices,950,
soft skills,948,
beauty,944,
sat,938,
human resource management,935,
critical thinking,934,
mining,932,
derivatives,931,
proficient in english,930,
apis,928,
culinary,926,
data protection,925,
plc,921,
report writing,921,
statutory,918,
regulatory requirements,917,
retail industry,917,
psychology,915,
it skills,915,
cuisine,914,
auditing,910,
san,909,
ms project,908,
shooting,908,
assembly,904,
fashion,903,
weblogic,901,
mcse,898,
reach,892,
korean,891,
customer focus,884,
trust,884,
layout,883,
fabrication,881,
simulation,879,
myob,878,
diligent,875,
design development,874,
visio,874,
information security,872,
microsoft sql,866,
six sigma,866,
religion,865,
transformation,862,
jira,862,
client service,862,
protocol,858,
sales and marketing,855,
it infrastructure,853,
adaptability,852,
payments,851,
web applications,850,
people skills,846,
telecommunications,845,
revit,844,
salesforce,843,
team work,842,
hospitality industry,839,
it security,838,
product management,837,
inspection,837,
performance tuning,834,
budgeting,831,
image,830,
object oriented programming,829,
incentives,829,
forecasting,824,
css3,822,
presenting,820,
solaris,819,
ruby,818,
aml,817,
administrator,816,
ict,814,
enquiries,814,
web technologies,812,
business intelligence,811,
messaging,811,
forwarding,810,
middleware,810,
data analytics,809,
rewards,807,
flexible working,806,
it savvy,801,
machine learning,800,
logic,797,
life sciences,794,
abap,792,
chef,791,
designer,791,
claims,789,
sea,787,
multicultural,782,
front office,779,
demand,779,
network security,778,
uat,777,
screening,776,
personal data protection,775,
visual studio,772,
indesign,771,
team spirit,768,
service management,765,
iis,762,
supplier,761,
vpn,759,
ms sql server,757,
piping,757,
libraries,756,
microsoft office suite,755,
conflict,754,
real time,752,
auto,750,
angularjs,749,
youtube,749,
oil and gas,748,
graphic design,748,
maritime,748,
microsoft windows,748,
linkedin,745,
cvs,743,
oracle database,742,
managerial experience,740,
tourism,740,
financial markets,739,
molecular,735,
marine industry,735,
data protection act,734,
liaison,734,
identity,734,
rdbms,732,
origin,732,
open source,729,
deals,725,
team management,725,
investigation,723,
green,723,
continuous integration,721,
recruiting,719,
pipeline,719,
svn,716,
