skill,filter_type,valid
voice mail systems,subsuper,
vpn,subsuper,
ssl vpn,subsuper,
warehousing,subsuper,
warehousing operations,subsuper,
whiteboards,subsuper,n
interactive whiteboards,subsuper,n
winches,subsuper,n
hydraulic winches,subsuper,
xenserver,subsuper,
citrix xenserver,subsuper,
access management,subsuper,
access management software,subsuper,
account management,subsuper,
global account management,subsuper,
key account management,subsuper,
application development,subsuper,
enterprise application development,subsuper,
assessment software,subsuper,
risk assessment software,subsuper,
autodesk revit,subsuper,
autodesk revit architecture,subsuper,
business development,subsuper,
global business development,subsuper,
new business development,subsuper,
regional business development,subsuper,
strategic business development,subsuper,
business events,subsuper,n
tibco business events,subsuper,
business growth,subsuper,n
business management,subsuper,
business management software,subsuper,
business object,subsuper,
sap business objects,subsuper,
business objects,subsuper,
business partner,subsuper,n
hr business partner,subsuper,
business plan,subsuper,n
business plan formulation,subsuper,
strategic business planning,subsuper,
call center,subsuper,n
call center software,subsuper,n
client relations,subsuper,
client relationship building,subsuper,
client relationship management,subsuper,
developing client relationships,subsuper,n
manage client relationships,subsuper,n
strengthening client relationships,subsuper,n
client service,subsuper,n
client service oriented,subsuper,n
superior client service,subsuper,n
cognos tm1,subsuper,
ibm cognos tm1,subsuper,
good communication skills,subsuper,n
confined space,subsuper,n
confined space assessor,subsuper,
control systems,subsuper,
access control systems,subsuper,
machine control systems,subsuper,
motion control systems,subsuper,
customer relations,subsuper,
customer relations management,subsuper,
customer relationship management,subsuper,
customer relationship,subsuper,n
cutting machines,subsuper,
laser cutting machines,subsuper,
data centre,subsuper,n
data centre management,subsuper,
data entry,subsuper,
accurate data entry,subsuper,n
data management,subsuper,
data management software,subsuper,
database management,subsuper,
database management software,subsuper,
database management system,subsuper,
database management systems,subsuper,n
decision making,subsuper,n
decision making skills,subsuper,n
timely decision making,subsuper,n
desktop publishing,subsuper,
desktop publishing software,subsuper,
direct sales,subsuper,
indirect sales channels,subsuper,n
electron microscopes,subsuper,
scanning electron microscopes,subsuper,
ethical hacker,subsuper,
financial management,subsuper,
hyperion financial management,subsuper,
grinding machines,subsuper,
surface grinding machines,subsuper,n
human resource,subsuper,n
human resource management,subsuper,
human resources management,subsuper,n
human resources,subsuper,n
hyperion software,subsuper,
oracle hyperion software,subsuper,n
ibm cognos,subsuper,
ibm spss,subsuper,
ibm spss statistics,subsuper,n
ibm websphere,subsuper,
ibm websphere mq,subsuper,n
it architecture,subsuper,
it risk,subsuper,
credit risk management,subsuper,
itil v3,subsuper,
itil v3 foundation,subsuper,n
key account,subsuper,n
managing key accounts,subsuper,n
proven leadership skills,subsuper,n
marketing communication,subsuper,
integrated marketing communications,subsuper,n
marketing communications,subsuper,n
material management,subsuper,
sap material management,subsuper,n
microsoft windows,subsuper,
microsoft windows server,subsuper,
microsoft windows xp,subsuper,
modeling software,subsuper,
human modeling software,subsuper,n
molding machines,subsuper,
injection molding machines,subsuper,n
ms crm,subsuper,
ms crm 2013,subsuper,
ms excel,subsuper,
ms office,subsuper,
ms office 2010,subsuper,
ms office applications,subsuper,
ms office suite,subsuper,
ms office tools,subsuper,
ms sql,subsuper,
ms sql server,subsuper,
network management,subsuper,
network management software,subsuper,
office 2010,subsuper,
microsoft office 2010,subsuper,
oracle weblogic,subsuper,
oracle weblogic server,subsuper,
patent applications,subsuper,
